id,policy_id,original_name,standard_category,start_time,end_time,season_type,price_value,price_unit,data_status,notes
36,7,深谷,深谷,10:00,15:00,全年,0.0483,元/kWh,modeled,山东深谷下浮90%（在谷段基础上）
37,7,低谷,谷,0:00,6:00,全年,0.2414,元/kWh,modeled,山东谷段下浮约50%
38,9,平段,平,8:00,22:00,全年,0.6200,元/kWh,estimated,山东居民分时试点平段
39,9,低谷,谷,22:00,8:00,全年,0.3700,元/kWh,confirmed,山东居民谷段低至0.37元/kWh
40,10,高峰,峰,8:00,11:00,春秋季,0.9450,元/kWh,modeled,浙江春秋季大工业高峰上浮65%
41,10,高峰,峰,13:00,17:00,春秋季,0.9450,元/kWh,modeled,
42,10,平段,平,17:00,24:00,春秋季,0.5727,元/kWh,estimated,浙江平段
43,10,低谷,谷,0:00,8:00,春秋季,0.2577,元/kWh,modeled,浙江低谷下浮55%
44,10,低谷,谷,11:00,13:00,春秋季,0.2577,元/kWh,modeled,
45,11,尖峰,尖峰,9:00,11:00,夏冬季,1.1340,元/kWh,modeled,浙江夏冬季尖峰上浮98%
46,11,尖峰,尖峰,15:00,17:00,夏冬季,1.1340,元/kWh,modeled,
47,11,高峰,峰,8:00,9:00,夏冬季,0.9450,元/kWh,modeled,
48,11,高峰,峰,17:00,23:00,夏冬季,0.9450,元/kWh,modeled,
49,11,平段,平,13:00,15:00,夏冬季,0.5727,元/kWh,estimated,
50,11,平段,平,23:00,24:00,夏冬季,0.5727,元/kWh,estimated,
51,11,低谷,谷,0:00,8:00,夏冬季,0.2577,元/kWh,modeled,
52,11,低谷,谷,11:00,13:00,夏冬季,0.2577,元/kWh,modeled,
53,14,高峰,峰,8:00,11:00,全年,0.7560,元/kWh,modeled,蒙西电网大工业峰段上浮48%
54,14,高峰,峰,17:00,21:00,全年,0.7560,元/kWh,modeled,
55,14,平段,平,5:00,8:00,全年,0.5108,元/kWh,estimated,蒙西电网平段
56,14,平段,平,11:00,17:00,全年,0.5108,元/kWh,estimated,
57,14,平段,平,21:00,24:00,全年,0.5108,元/kWh,estimated,
58,14,低谷,谷,0:00,5:00,全年,0.2861,元/kWh,modeled,蒙西电网谷段下浮44%
59,15,高峰,峰,7:00,11:00,全年,0.7510,元/kWh,modeled,蒙东电网大工业峰段上浮47%
60,15,高峰,峰,17:00,21:00,全年,0.7510,元/kWh,modeled,
61,15,平段,平,5:00,7:00,全年,0.5110,元/kWh,estimated,
62,15,平段,平,11:00,17:00,全年,0.5110,元/kWh,estimated,
63,15,平段,平,21:00,24:00,全年,0.5110,元/kWh,estimated,
64,15,低谷,谷,0:00,5:00,全年,0.2964,元/kWh,modeled,蒙东电网谷段下浮42%
