id,province_id,season_type,user_type,voltage_level,original_period_name,standard_category,start_time,end_time,price_yuan_kwh,price_basis,source_id,policy_effective_date,policy_expire_date,data_status,caliber_note
25,3,全年,工商业,35千伏,高峰,峰,17:00,22:00,1.00,以平段0.71元/kWh为基准上浮约41%（高峰上浮70%）,3,2024-01-01,,真实数据,山东省2025年4月示例：高峰17:00-22:00电价1.0元/kWh
26,3,全年,工商业,35千伏,平时段,平,00:00,10:00,0.71,平段基准价格,3,2024-01-01,,真实数据,山东省2025年4月示例：平段0.71元/kWh
27,3,全年,工商业,35千伏,平时段,平,15:00,17:00,0.71,平段基准价格,3,2024-01-01,,真实数据,山东省2025年4月示例：平段0.71元/kWh
28,3,全年,工商业,35千伏,平时段,平,22:00,24:00,0.71,平段基准价格,3,2024-01-01,,真实数据,山东省2025年4月示例：平段0.71元/kWh
29,3,全年,工商业,35千伏,低谷,谷,10:00,15:00,0.35,以平段0.71元/kWh为基准下浮约51%（低谷下浮70%）,3,2024-01-01,,真实数据,山东省2025年4月示例：低谷10:00-15:00电价0.35元/kWh
30,3,全年,工商业,35千伏,深谷,深谷,11:00,14:00,0.25,以平段0.71元/kWh为基准下浮约65%（深谷下浮90%）,3,2024-01-01,,真实数据,山东省2025年4月示例：深谷11:00-14:00电价0.25元/kWh
31,4,夏冬季（1月/7-8月/12月）,工商业,1-10千伏,尖峰,尖峰,18:00,22:00,,浮动比例2.05（以平段为1）,4,2026-07-01,,真实数据,浙发改价格〔2026〕112号；尖峰浮动比例2.05
32,4,夏冬季（1月/7-8月/12月）,工商业,1-10千伏,高峰,峰,16:00,18:00,,浮动比例1.85（以平段为1）,4,2026-07-01,,真实数据,浙发改价格〔2026〕112号；高峰浮动比例1.85
33,4,夏冬季（1月/7-8月/12月）,工商业,1-10千伏,高峰,峰,22:00,23:00,,浮动比例1.85（以平段为1）,4,2026-07-01,,真实数据,浙发改价格〔2026〕112号；高峰浮动比例1.85
34,4,夏冬季（1月/7-8月/12月）,工商业,1-10千伏,平段,平,7:00,11:00,,浮动比例1（以平段为1）,4,2026-07-01,,真实数据,浙发改价格〔2026〕112号；平段为基准
35,4,夏冬季（1月/7-8月/12月）,工商业,1-10千伏,平段,平,14:00,16:00,,浮动比例1（以平段为1）,4,2026-07-01,,真实数据,浙发改价格〔2026〕112号；平段为基准
36,4,夏冬季（1月/7-8月/12月）,工商业,1-10千伏,平段,平,23:00,24:00,,浮动比例1（以平段为1）,4,2026-07-01,,真实数据,浙发改价格〔2026〕112号；平段为基准
37,4,夏冬季（1月/7-8月/12月）,工商业,1-10千伏,低谷,谷,0:00,7:00,,浮动比例0.4（以平段为1）,4,2026-07-01,,真实数据,浙发改价格〔2026〕112号；低谷浮动比例0.4
38,4,夏冬季（1月/7-8月/12月）,工商业,1-10千伏,低谷,谷,11:00,14:00,,浮动比例0.4（以平段为1）,4,2026-07-01,,真实数据,浙发改价格〔2026〕112号；午间低谷3小时
39,4,春秋季（2-6月/9-11月）,工商业,1-10千伏,高峰,峰,16:00,23:00,,浮动比例1.85（以平段为1）,4,2026-07-01,,真实数据,浙发改价格〔2026〕112号；春秋季高峰7小时
40,4,春秋季（2-6月/9-11月）,工商业,1-10千伏,平段,平,7:00,11:00,,浮动比例1（以平段为1）,4,2026-07-01,,真实数据,浙发改价格〔2026〕112号；春秋季平段
41,4,春秋季（2-6月/9-11月）,工商业,1-10千伏,平段,平,14:00,16:00,,浮动比例1（以平段为1）,4,2026-07-01,,真实数据,浙发改价格〔2026〕112号；春秋季平段
42,4,春秋季（2-6月/9-11月）,工商业,1-10千伏,平段,平,23:00,24:00,,浮动比例1（以平段为1）,4,2026-07-01,,真实数据,浙发改价格〔2026〕112号；春秋季平段
43,4,春秋季（2-6月/9-11月）,工商业,1-10千伏,低谷,谷,0:00,7:00,,浮动比例0.4（以平段为1）,4,2026-07-01,,真实数据,浙发改价格〔2026〕112号；春秋季低谷
44,4,春秋季（2-6月/9-11月）,工商业,1-10千伏,低谷,谷,11:00,14:00,,浮动比例0.4（以平段为1）,4,2026-07-01,,真实数据,浙发改价格〔2026〕112号；春秋季午间低谷3小时
45,5,大风季（1-5月/9-12月）,工商业,1-10千伏,峰段,峰,06:00,08:00,,峰平谷比价1.68:1:0.48；峰段上浮68%,5,2024-01-01,,真实数据,蒙西电网；大风季峰段6小时
46,5,大风季（1-5月/9-12月）,工商业,1-10千伏,峰段,峰,18:00,22:00,,峰平谷比价1.68:1:0.48；峰段上浮68%,5,2024-01-01,,真实数据,蒙西电网；大风季峰段6小时
47,5,大风季（1-5月/9-12月）,工商业,1-10千伏,平时段,平,04:00,06:00,,平段基准价格,5,2024-01-01,,真实数据,蒙西电网；大风季平段
48,5,大风季（1-5月/9-12月）,工商业,1-10千伏,平时段,平,08:00,11:00,,平段基准价格,5,2024-01-01,,真实数据,蒙西电网；大风季平段
49,5,大风季（1-5月/9-12月）,工商业,1-10千伏,平时段,平,16:00,18:00,,平段基准价格,5,2024-01-01,,真实数据,蒙西电网；大风季平段
50,5,大风季（1-5月/9-12月）,工商业,1-10千伏,平时段,平,22:00,24:00,,平段基准价格,5,2024-01-01,,真实数据,蒙西电网；大风季平段
51,5,大风季（1-5月/9-12月）,工商业,1-10千伏,谷段,谷,00:00,04:00,,峰平谷比价1.68:1:0.48；谷段下浮52%,5,2024-01-01,,真实数据,蒙西电网；大风季谷段9小时
52,5,大风季（1-5月/9-12月）,工商业,1-10千伏,谷段,谷,11:00,16:00,,峰平谷比价1.68:1:0.48；谷段下浮52%,5,2024-01-01,,真实数据,蒙西电网；大风季谷段
53,5,小风季（6-8月）,工商业,1-10千伏,尖峰,尖峰,19:00,21:00,,尖峰在峰段基础上上浮20%,5,2024-01-01,,真实数据,蒙西电网；小风季（6-8月）尖峰2小时
54,5,小风季（6-8月）,工商业,1-10千伏,峰段,峰,06:00,08:00,,峰平谷比价1.54:1:0.44；峰段上浮54%,5,2024-01-01,,真实数据,蒙西电网；小风季峰段
55,5,小风季（6-8月）,工商业,1-10千伏,峰段,峰,18:00,22:00,,峰平谷比价1.54:1:0.44；峰段上浮54%,5,2024-01-01,,真实数据,蒙西电网；小风季峰段
56,5,小风季（6-8月）,工商业,1-10千伏,平时段,平,0:00,06:00,,平段基准价格,5,2024-01-01,,真实数据,蒙西电网；小风季平段
57,5,小风季（6-8月）,工商业,1-10千伏,平时段,平,08:00,11:00,,平段基准价格,5,2024-01-01,,真实数据,蒙西电网；小风季平段
58,5,小风季（6-8月）,工商业,1-10千伏,平时段,平,16:00,18:00,,平段基准价格,5,2024-01-01,,真实数据,蒙西电网；小风季平段
59,5,小风季（6-8月）,工商业,1-10千伏,平时段,平,22:00,24:00,,平段基准价格,5,2024-01-01,,真实数据,蒙西电网；小风季平段
60,5,小风季（6-8月）,工商业,1-10千伏,谷段,谷,11:00,16:00,,峰平谷比价1.54:1:0.44；谷段下浮56%,5,2024-01-01,,真实数据,蒙西电网；小风季谷段5小时
61,5,小风季（6-8月）,工商业,1-10千伏,深谷,深谷,13:00,15:00,,深谷在谷段基础上再下浮20%,5,2024-01-01,,真实数据,蒙西电网；小风季（6-8月）深谷2小时
62,6,全年,工商业,1-10千伏,峰段,峰,06:00,09:00,,峰平谷比价1.68:1:0.48；峰段上浮68%,6,2024-01-01,,真实数据,蒙东电网；全年峰段8小时
63,6,全年,工商业,1-10千伏,峰段,峰,17:00,22:00,,峰平谷比价1.68:1:0.48；峰段上浮68%,6,2024-01-01,,真实数据,蒙东电网；全年峰段8小时
64,6,全年,工商业,1-10千伏,平时段,平,05:00,06:00,,平段基准价格,6,2024-01-01,,真实数据,蒙东电网；全年平段
65,6,全年,工商业,1-10千伏,平时段,平,09:00,11:00,,平段基准价格,6,2024-01-01,,真实数据,蒙东电网；全年平段
66,6,全年,工商业,1-10千伏,平时段,平,14:00,17:00,,平段基准价格,6,2024-01-01,,真实数据,蒙东电网；全年平段
67,6,全年,工商业,1-10千伏,平时段,平,22:00,24:00,,平段基准价格,6,2024-01-01,,真实数据,蒙东电网；全年平段
68,6,全年,工商业,1-10千伏,谷段,谷,00:00,05:00,,峰平谷比价1.68:1:0.48；谷段下浮52%,6,2024-01-01,,真实数据,蒙东电网；全年谷段8小时
69,6,全年,工商业,1-10千伏,谷段,谷,11:00,14:00,,峰平谷比价1.68:1:0.48；谷段下浮52%,6,2024-01-01,,真实数据,蒙东电网；全年谷段8小时
70,6,夏季（6-8月）,工商业,1-10千伏,尖峰,尖峰,18:00,20:00,,尖峰在峰段基础上上浮20%,6,2024-01-01,,真实数据,蒙东电网；6-8月尖峰2小时
71,6,夏季（6-8月）,工商业,1-10千伏,深谷,深谷,12:00,14:00,,深谷在谷段基础上再下浮20%,6,2024-01-01,,真实数据,蒙东电网；6-8月深谷2小时
